# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 177 177
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
2389.8254225726537 113000.0 1521.3011213203426 3390.0752170288906 2.444512882090306e-05 1262.7428672800559 4.150202900905162e-05 157208828491.28156 -9641914.613758486
2393.2645317932074 113000.0 1525.4496384037193 3389.731320132406 2.4462721574875484e-05 1263.0011198949217 4.1506239495850166e-05 157143467079.20822 -9636675.568427105
2396.70364101376 113000.0 1529.6086165937595 3389.386342687664 2.4480369341982053e-05 1263.259407814982 4.151046407074202e-05 157077913115.28873 -9631422.23792464
2400.1427502343136 113000.0 1533.7780799963512 3389.0402809995603 2.449807247751005e-05 1263.5177380929465 4.15147027873341e-05 157012166055.97736 -9626154.586232772
2403.5818594548664 113000.0 1537.9580527404323 3388.693131361771 2.4515831402910484e-05 1263.776117510391 4.151895569943823e-05 156946225088.2499 -9620872.577250244
2407.020968675419 113000.0 1542.148558986606 3388.3448900488197 2.4533646563998447e-05 1264.034552483296 4.152322286116891e-05 156880090235.15152 -9615576.174792765
2410.460077895973 113000.0 1546.3496229206212 3387.9955533222014 2.45515183871615e-05 1264.2930501443295 4.1527504326868804e-05 156813760311.0521 -9610265.342592899
2413.8991871165254 113000.0 1550.5612687547691 3387.645117424352 2.4569447239634173e-05 1264.5516176033143 4.153180015118327e-05 156747234856.22943 -9604940.044299996
2417.3382963370786 113000.0 1554.7835207262542 3387.293578585912 2.4587433457924722e-05 1264.8102613874678 4.1536110388971866e-05 156680513307.32495 -9599600.243480086
2420.777405557631 113000.0 1559.016403102316 3386.9409330196922 2.4605477579197765e-05 1265.0689881480596 4.154043509538286e-05 156613595328.09146 -9594245.903615806
2424.2165147781857 113000.0 1563.2599401739426 3386.5871769218675 2.462357993824422e-05 1265.327805068357 4.154477432583924e-05 156546479984.3024 -9588876.988106282
2427.655623998739 113000.0 1567.5141562581994 3386.2323064742945 2.4641740946145114e-05 1265.5867189955516 4.154912813601084e-05 156479166679.66214 -9583493.46026706
2431.0947332192904 113000.0 1571.779075697763 3385.876317841151 2.4659961089170625e-05 1265.8457364428596 4.155349658185616e-05 156411655044.59784 -9578095.283330012
2434.5338424398433 113000.0 1576.0547228632495 3385.519207171636 2.467824071993647e-05 1266.104864628597 4.1557879719589834e-05 156343944277.93054 -9572682.420443248
2437.9729516603975 113000.0 1580.3411221457645 3385.160970597364 2.4696580320279466e-05 1266.364110602246 4.156227760571521e-05 156276033805.49283 -9567254.834671024
2441.412060880951 113000.0 1584.6382979650516 3384.801604233934 2.4714980301209424e-05 1266.6234807735796 4.1566690297005695e-05 156207922951.3093 -9561812.488993665
2444.8511701015036 113000.0 1588.9462747653015 3384.4411041802173 2.473344101786111e-05 1266.8829822835485 4.157111785051413e-05 156139611375.0773 -9556355.346307477
2448.2902793220574 113000.0 1593.265077013988 3384.0794665206854 2.4751963016124595e-05 1267.1426221075064 4.157556032354478e-05 156071098142.89777 -9550883.369424649
2451.7293885426093 113000.0 1597.5947292037308 3383.716687318256 2.4770546662902884e-05 1267.4024068203232 4.1580017773741854e-05 156002382820.31314 -9545396.521073189
2455.168497763163 113000.0 1601.9352558527607 3383.3527626253363 2.4789192348229547e-05 1267.6623438914899 4.1584490258954466e-05 155933464816.578 -9539894.763896823
