# This is a data table for enstatite and qtz computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 181 181
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
1412.5559195657956 11000.0 817.7452647429891 2954.9212265351084 3.5771624903061745e-05 1010.0868590174957 3.9378897466056517e-05 62256878102.32145 -11010784.304928921
1414.6683699409468 11000.0 819.4569668853655 2954.740115983418 3.584523453880818e-05 1010.4199920953316 3.9381311192328574e-05 62191897735.304924 -11009055.052286852
1416.780820316098 11000.0 821.1716858167201 2954.5583228775754 3.5919466584945504e-05 1010.7532748629626 3.938373431283981e-05 62126530676.66847 -11007322.180574687
1418.8932706912494 11000.0 822.8894255850464 2954.3758424123585 3.599433219951532e-05 1011.0867255735337 3.9386166895064526e-05 62060771160.41082 -11005585.683415316
1421.0057210664004 11000.0 824.6101902136579 2954.1926697065114 3.606984194132583e-05 1011.420362341524 3.9388609007536434e-05 61994614301.54533 -11003845.554423114
1423.1181714415518 11000.0 826.3339836946689 2954.0087998185345 3.6146005828967404e-05 1011.7542046366161 3.9391060719639063e-05 61928053877.21815 -11002101.787203977
1425.230621816703 11000.0 828.0608099903911 2953.824227731032 3.6222835934789705e-05 1012.0882717765865 3.939352210181533e-05 61861084718.48629 -11000354.375355404
1427.3430721918542 11000.0 829.7906730319373 2953.638948355152 3.6300343109844486e-05 1012.4225826537468 3.93959932255093e-05 61793700386.773476 -10998603.312466552
1429.455522567005 11000.0 831.523576721549 2953.4529565280372 3.6378539102977486e-05 1012.7571580525372 3.939847416320117e-05 61725895497.718704 -10996848.592118314
1431.5679729421565 11000.0 833.2595249232836 2953.266247008536 3.645743576742452e-05 1013.0920184514505 3.940096498846542e-05 61657663408.28357 -10995090.20788337
1433.6804233173077 11000.0 834.9985214727931 2953.0788144816415 3.65370455592714e-05 1013.4271839021419 3.9403465775912626e-05 61588998250.19101 -10993328.15332627
1435.792873692459 11000.0 836.7405701684766 2952.8906535472274 3.66173807942159e-05 1013.7626759166457 3.9405976601340805e-05 61519893190.03062 -10991562.422003496
1437.9053240676103 11000.0 838.4856747747399 2952.701758727978 3.6698454313961376e-05 1014.0985163793831 3.940849754163064e-05 61450342170.91519 -10989793.007463554
1440.0177744427615 11000.0 840.2338390168734 2952.5121244607503 3.6780279380981434e-05 1014.4347275381442 3.941102867486188e-05 61380337791.41899 -10988019.903247025
1442.130224817913 11000.0 841.9850665843114 2952.3217450983975 3.6862869540273234e-05 1014.7713310617717 3.941357008029008e-05 61309873987.74203 -10986243.102886664
1444.2426751930639 11000.0 843.7393611287698 2952.1306149020106 3.694623868488084e-05 1015.1083499263908 3.9416121838451366e-05 61238943251.3376 -10984462.599907469
1446.355125568215 11000.0 845.4967262609862 2951.9387280479837 3.703040084381873e-05 1015.4458081338688 3.9418684031069276e-05 61167538471.26046 -10982678.38782677
1448.4675759433665 11000.0 847.2571655497886 2951.746078615893 3.71153704307686e-05 1015.7837293600404 3.9421256741217805e-05 61095652435.88624 -10980890.460154312
1450.5800263185174 11000.0 849.0206825234927 2951.5526605964446 3.7201162573135325e-05 1016.1221378977963 3.9423840053216556e-05 61023277671.45209 -10979098.81039234
1452.6924766936686 11000.0 850.7872806657106 2951.3584678776156 3.728779299643664e-05 1016.4610583795782 3.942643405281706e-05 60950406118.9462 -10977303.432035696
1454.8049270688193 11000.0 852.5569634176791 2951.1634942499886 3.737527685941591e-05 1016.8005165801526 3.94290388271329e-05 60877030347.43163 -10975504.318571907
1456.9173774439714 11000.0 854.329734171275 2950.9677334033654 3.74636307277553e-05 1017.1405391322288 3.943165446468629e-05 60803141857.181946 -10973701.463481277
1459.029827819123 11000.0 856.1055962722749 2950.771178924257 3.7552870819313966e-05 1017.481151792949 3.9434281055442986e-05 60728732456.72975 -10971894.860237
1461.142278194274 11000.0 857.884553019423 2950.573824288149 3.764301455377059e-05 1017.8223813112132 3.943691869091708e-05 60653794045.1576 -10970084.502305249
1463.2547285694243 11000.0 859.6666076611727 2950.375662863971 3.7734079533982544e-05 1018.1642574114167 3.943956746411277e-05 60578317097.06154 -10968270.383145273
1465.3671789445764 11000.0 861.4517633877695 2950.1766879046245 3.782608384909033e-05 1018.5068077188016 3.944222746965243e-05 60502293547.455 -10966452.496209534
1467.4796293197269 11000.0 863.2400233456865 2949.9768925462367 3.7919045657923196e-05 1018.8500599128008 3.9444898803788236e-05 60425713812.75292 -10964630.834943786
1469.592079694879 11000.0 865.0313906222582 2949.776269812627 3.801298390864437e-05 1019.1940452815611 3.9447581564344e-05 60348568748.546616 -10962805.392787209
1471.70453007003 11000.0 866.8258682475425 2949.5748125980203 3.8107918878396616e-05 1019.5387949988548 3.945027585094795e-05 60270848307.783424 -10960976.163172511
1473.816980445181 11000.0 868.6234591919929 2949.3725136724 3.820386989428659e-05 1019.8843394616922 3.94529817649629e-05 60192542999.604576 -10959143.139526067
1475.9294308203323 11000.0 870.4241663706489 2949.1693656825087 3.83008581652648e-05 1020.2307109373853 3.945569940947462e-05 60113642713.1779 -10957306.31526804
1478.041881195484 11000.0 872.227992631495 2948.965361131964 3.8398905176910525e-05 1020.5779426154246 3.945842888955958e-05 60034136677.171616 -10955465.683812488
1480.1543315706347 11000.0 874.034940762911 2948.7604923961967 3.8498032659829264e-05 1020.9260678219762 3.946117031208705e-05 59954014745.276024 -10953621.238567533
1482.2667819457856 11000.0 875.8450134848244 2948.5547517025802 3.859826352775971e-05 1021.2751218454915 3.9463923785986845e-05 59873265753.41953 -10951772.972935468
1484.3792323209366 11000.0 877.6582134496421 2948.34813114189 3.869962062430151e-05 1021.6251396969367 3.946668942209799e-05 59791878170.95358 -10949920.880312912
1486.4916826960882 11000.0 879.4745432413183 2948.1406226510567 3.880212825929576e-05 1021.976158467121 3.9469467333401555e-05 59709840689.39252 -10948064.954090955
1488.60413307124 11000.0 881.2940053679049 2947.9322180150684 3.8905811083086925e-05 1022.3282158656084 3.9472257634997365e-05 59627141490.44383 -10946205.187655302
1490.7165834463908 11000.0 883.1166022657417 2947.7229088627814 3.901069461558426e-05 1022.6813490474019 3.9475060444162226e-05 59543768572.251274 -10944341.57438644
1492.8290338215422 11000.0 884.942336296197 2947.5126866566593 3.911680519079804e-05 1023.0355983935443 3.947787588048959e-05 59459708871.71676 -10942474.107659783
1494.941484196693 11000.0 886.7712097363546 2947.30154269729 3.922417007308402e-05 1023.3910056565105 3.948070406583138e-05 59374949792.86303 -10940602.780845849
1497.0539345718448 11000.0 888.6032247822732 2947.089468107054 3.9332816876645207e-05 1023.7476114846396 3.948354512451915e-05 59289478066.5996 -10938727.587310422
