# This is a data table for enstatite and qtz computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 181 181
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
1840.0276306685141 11000.0 879.043983886484 3054.337931808606 3.514484180439919e-05 1260.0990007076557 4.730981418105075e-05 72981148359.58969 -13643963.238984294
1842.6238306468958 11000.0 880.8566887173802 3054.143164544799 3.5213916107054924e-05 1260.471826988553 4.731283119844738e-05 72900729975.7985 -13641678.71401584
1845.2200306252769 11000.0 882.6725935344584 3053.947680954458 3.528367981420967e-05 1260.8450929398698 4.731585969895823e-05 72819691304.58136 -13639389.478751881
1847.8162306036593 11000.0 884.4917023777962 3053.7514755144534 3.535414770181459e-05 1261.2188272432197 4.731889977250248e-05 72738019783.41846 -13637095.524879336
1850.4124305820403 11000.0 886.3140192553401 3053.554542604208 3.542533483825914e-05 1261.5930588441731 4.732195151057095e-05 72655704462.48602 -13634796.844074693
1853.0086305604223 11000.0 888.1395481256768 3053.3568764930224 3.549725750723109e-05 1261.967818370061 4.732501500642393e-05 72572732233.05377 -13632493.428004079
1855.6048305388038 11000.0 889.9682929096743 3053.158471345429 3.5569931286476454e-05 1262.3431365309125 4.7328090355009775e-05 72489090635.48326 -13630185.268323401
1858.2010305171855 11000.0 891.8002574779093 3052.9593212235463 3.564337292497198e-05 1262.7190444192922 4.733117765292991e-05 72404766631.0148 -13627872.356678454
1860.7972304955667 11000.0 893.6354456613772 3052.759420069907 3.571759998150672e-05 1263.095574965524 4.733427699870663e-05 72319746741.8426 -13625554.684705028
1863.393430473949 11000.0 895.4738612347282 3052.5587617113224 3.579262961878296e-05 1263.472761939346 4.733738849272486e-05 72234016612.2512 -13623232.244029043
1865.9896304523304 11000.0 897.3155079297721 3052.3573398619924 3.5868480547341736e-05 1263.8506396454252 4.7340512237185615e-05 72147562175.9443 -13620905.02626667
1868.5858304307128 11000.0 899.1603894196451 3052.1551481018523 3.5945171866391516e-05 1264.229243692168 4.7343648336443584e-05 72060368828.48668 -13618573.023024468
1871.182030409095 11000.0 901.0085093299858 3051.9521798917003 3.6022722904637364e-05 1264.608608929925 4.734679689677432e-05 71972420865.6357 -13616236.225899523
1873.778230387476 11000.0 902.8598712291569 3051.748428556058 3.610115386097333e-05 1264.9887750058729 4.734995802664198e-05 71883702837.46735 -13613894.62647958
1876.374430365857 11000.0 904.714478623122 3051.5438872862997 3.6180485787224374e-05 1265.3697791786863 4.735313183665276e-05 71794198410.47894 -13611548.21634319
1878.9706303442395 11000.0 906.5723349666223 3051.3385491295244 3.6260740526964485e-05 1265.7516612660802 4.735631843972951e-05 71703890638.43246 -13609196.987059887
1881.56683032262 11000.0 908.4334436436184 3051.1324069916955 3.634194048890209e-05 1266.1344626477355 4.735951795106521e-05 71612762355.13028 -13606840.93019031
1884.1630303010015 11000.0 910.2978079812601 3050.9254536220255 3.6424108628353866e-05 1266.5182258017173 4.736273048836738e-05 71520795681.63739 -13604480.037286388
1886.7592302793846 11000.0 912.165431231726 3050.7176816243737 3.650726919736391e-05 1266.9029937953128 4.73659561716835e-05 71427971917.63066 -13602114.29989151
1889.3554302577656 11000.0 914.0363165875897 3050.509083429645 3.659144737655167e-05 1267.2888112504947 4.7369195123831745e-05 71334271998.48923 -13599743.709540697
1891.9516302361476 11000.0 915.9104671608657 3050.2996513086987 3.667666862908625e-05 1267.6757254027807 4.737244747020304e-05 71239676258.94374 -13597368.25776078
1894.5478302145295 11000.0 917.7878859951161 3050.0893773597595 3.676295988612819e-05 1268.0637842162967 4.737571333895903e-05 71144164014.83037 -13594987.936070606
1897.144030192911 11000.0 919.6685760500841 3049.87825350109 3.685034877067876e-05 1268.4530363553774 4.737899286114843e-05 71047714455.10611 -13592602.735981224
1899.7402301712925 11000.0 921.552540213801 3049.666271465919 3.6938864625495926e-05 1268.8435340187673 4.738228617078858e-05 70950305478.34106 -13590212.648996083
1902.336430149674 11000.0 923.4397812788375 3049.4534227936315 3.7028537095338784e-05 1269.2353303770597 4.738559340500505e-05 70851914338.18591 -13587817.666611267
1904.9326301280557 11000.0 925.3303019618616 3049.2396988262035 3.7119397068475974e-05 1269.6284794386497 4.7388914704089986e-05 70752517479.47838 -13585417.780315693
1907.5288301064377 11000.0 927.2241048803553 3049.0250906979154 3.72114775281357e-05 1270.0230395986077 4.739225021166494e-05 70652090684.26045 -13583012.98159137
1910.1250300848192 11000.0 929.1211925614625 3048.80958932731 3.730481157039538e-05 1270.4190678575706 4.7395600074809046e-05 70550608605.25961 -13580603.261913603
1912.7212300632011 11000.0 931.0215674359351 3048.5931854099176 3.7399434203156786e-05 1270.816626513322 4.739896444417536e-05 70448045222.36353 -13578188.61275128
1915.3174300415833 11000.0 932.9252318269573 3048.3758694109833 3.749538183515212e-05 1271.2157790684257 4.740234347410733e-05 70344373198.60477 -13575769.025567105
1917.913630019964 11000.0 934.832187956199 3048.1576315522216 3.7592692568794735e-05 1271.6165910085563 4.740573732284829e-05 70239564460.52135 -13573344.491817879
1920.5098299983472 11000.0 936.742437930312 3047.9384618060617 3.769140563660743e-05 1272.0191302337062 4.740914615263464e-05 70133589681.8444 -13570915.002954783
1923.1060299767278 11000.0 938.6559837455861 3047.718349881678 3.779156219657654e-05 1272.4234689070001 4.7412570129917004e-05 70026418380.44415 -13568480.550423667
1925.7022299551097 11000.0 940.5728272688575 3047.49728521926 3.789320502403335e-05 1272.8296798452266 4.741600942545337e-05 69918019134.75542 -13566041.125665369
1928.2984299334914 11000.0 942.4929702528752 3047.2752569715726 3.799637905633671e-05 1273.2378396236845 4.741946421460016e-05 69808359020.06479 -13563596.72011602
1930.8946299118727 11000.0 944.416414307896 3047.052254001251 3.81011307463592e-05 1273.6480292811534 4.742293467735872e-05 69697403832.33672 -13561147.32520738
1933.4908298902549 11000.0 946.3431609147228 3046.828264857901 3.820750910243107e-05 1274.0603321565238 4.742642099873628e-05 69585117953.12482 -13558692.932367198
1936.087029868636 11000.0 948.2732114028186 3046.6032777739188 3.831556473415769e-05 1274.474833689895 4.74299233688158e-05 69471464396.82477 -13556233.533019567
1938.6832298470179 11000.0 950.2065669638105 3046.3772806401375 3.842535077515854e-05 1274.8916248050814 4.7433441983140074e-05 69356404682.02785 -13553769.118585305
1941.2794298253998 11000.0 952.1432286193594 3046.1502610054167 3.853692302094655e-05 1275.3108009094947 4.7436977042723444e-05 69239898236.95155 -13551299.68048235
1943.8756298037813 11000.0 954.0831972374581 3045.9222060455913 3.865033983374153e-05 1275.7324594423876 4.744052875454072e-05 69121903754.63101 -13548825.210126186
1946.4718297821635 11000.0 956.0264735077508 3045.69310255413 3.8765662652573986e-05 1276.1567051760044 4.744409733167849e-05 69002377017.49214 -13546345.698930267
1949.068029760544 11000.0 957.9730579415336 3045.46293692234 3.8882954671180824e-05 1276.5836437616983 4.7447682993649506e-05 68881272612.04642 -13543861.138306482
1951.664229738926 11000.0 959.9229508666322 3045.231695129316 3.9002283242351425e-05 1277.013388729774 4.745128596655559e-05 68758542943.19107 -13541371.519665629
1954.2604297173084 11000.0 961.876152405981 3044.999362702016 3.912371903326293e-05 1277.44605882286 4.7454906483716333e-05 68634137793.08151 -13538876.834417908
1956.8566296956894 11000.0 963.8326624804176 3044.7659247119827 3.924733545147948e-05 1277.881777971141 4.7458544785727284e-05 68508005275.127556 -13536377.073973464
1959.4528296740714 11000.0 965.7924807872623 3044.5313657489246 3.9373210452039846e-05 1278.320675231557 4.746220112087903e-05 68380090706.798065 -13533872.229742922
1962.049029652453 11000.0 967.7556068031117 3044.2956698861094 3.950142592907516e-05 1278.7628868858096 4.7465875745704395e-05 68250337340.562195 -13531362.293137979
1964.645229630835 11000.0 969.7220397558995 3044.0588206689476 3.9632067150417154e-05 1279.208556661956 4.746956892516464e-05 68118685034.58854 -13528847.255572002
1967.241429609217 11000.0 971.6917786267586 3043.820801077466 3.97652253461973e-05 1279.6578349401716 4.7473280933243226e-05 67985071000.2948 -13526327.108460676
